Lead ID,Lead Create Date,Lead Status,Follow Up Count,Group Connected,Sales Agent,Customer Rep,Latest Coverage Purchase Date,Latest Policy,Student Category,Pervious Policy
4Ve4Us8Ba7St,7/22/2024,Enrolled,6,Yes,Sales 2,Customer Rep 1,8/29/2024,24-25 Supreme,J1,
7Ik0Qs7Bc1Ce,7/22/2024,Enrolled,4,Yes,Sales 1,Customer Rep 1,11/21/2024,24-25 Prime 500,Undergraduate,
7Ix7Wf3Vq8Jl,7/22/2024,No Response,5,No,Sales 2,,,,Undergraduate,
7Lj2Wj3Bs9Fr,7/22/2024,No Response,6,No,Sales 1,,,,Graduate,
3Zj9Uw9Gv3Wa,7/22/2024,Lost,4,Yes,Sales 2,,,,Undergraduate,
6Tv5Qf7Tu3Tz,7/22/2024,No Response,6,No,Sales 1,,,,Undergraduate,
5Ux6Tx9Fw7Aq,7/22/2024,No Response,5,No,Sales 1,,,,OPT,
0Wx7Vo1Vr5Lf,7/22/2024,No Response,6,No,Sales 2,,,,Graduate,
9Of5Pr4Gl6Lg,7/22/2024,Lost,2,Yes,Sales 1,,,,Graduate,
2Oi0Xu0Om4Vz,7/22/2024,No Response,4,No,Sales 2,,,,Graduate,
3Nm9Uy7Nd5Hy,7/22/2024,No Response,6,No,Sales 2,,,,Graduate,
0Li3Kh6Oa8Hw,7/22/2024,No Response,6,No,Sales 1,,,,Undergraduate,
0Bb7Yt5Bx2Px,7/22/2024,No Response,5,No,Sales 1,,,,Undergraduate,
6Xn3Vp8Sb0Yc,7/22/2024,No Response,6,No,Sales 2,,,,OPT,
3Qh5Ir0Gr1Et,7/22/2024,No Response,4,No,Sales 2,,,,J1,
4Ny8Qy5Kb8Bn,7/22/2024,No Response,6,No,Sales 2,,,,Undergraduate,
1Kr2Ip7Gd7Lm,7/22/2024,Lost,3,Yes,Sales 2,Customer Rep 1,,,Graduate,
0Dr9Yr5Ua7Ko,7/23/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,7/23/2024,24-25 Prime 500,Undergraduate,23-24 Prime 500
9Iz1Zn1Ip6Ei,7/24/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,6/25/2024,24-25 Prime 500,J1,
7Si6Js7Ct6Ua,7/25/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,7/22/2024,24-25 Supreme,Undergraduate,
9Oq2Ba4Aj7Kt,7/25/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,7/25/2024,24-25 Prime 500,Undergraduate,
8Qy4Gh7Ri6Pn,7/29/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,7/26/2024,24-25 Prime 500,Undergraduate,
7Tf9Tb2Te3Yz,7/29/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,7/26/2024,24-25 Prime 100,OPT,
4Qh2Jp4Kl1Yh,7/29/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/2/2024,24-25 Supreme,Graduate,
6Mr1Ot6Sr1Rm,7/30/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,7/30/2024,24-25 Prime 100,Undergraduate,
8Sz9Bx1Yu8Ya,7/31/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,7/26/2024,24-25 Prime 100,Undergraduate,
0Cc9Aw0Ax5No,7/31/2024,Enrolled,1,No,,Customer Rep 1,7/30/2024,24-25 Prime 100,J1,23-24 Elite
4Rv8Fk4Yc0Gz,7/31/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,7/31/2024,24-25 Supreme,Undergraduate,
2Nf6Tq8Xt7Bd,8/1/2024,Enrolled,4,Yes,Sales 2,Customer Rep 2,8/23/2024,24-25 Supreme,Undergraduate,23-24 Prime 500
7Dx6Bm9So5Do,8/4/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/4/2024,24-25 Prime 500,Undergraduate,23-24 Prime 500
6Ai0Pa1Mo5Py,8/5/2024,Enrolled,1,No,Sales 2,Customer Rep 1,8/5/2024,24-25 Supreme,Undergraduate,
1Xu1Ha0Nd1Qs,8/5/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/5/2024,24-25 Prime 100,Undergraduate,23-24 Supreme
6Si1Fe0Zo3Ap,8/5/2024,Enrolled,3,Yes,Sales 1,Customer Rep 2,8/19/2024,24-25 Global Care Plus,Graduate,
3Yy3Zc9Xx6Oh,8/5/2024,Lost,4,Yes,Sales 2,Customer Rep 2,,,Graduate,
4Yt3Eu0By4Mf,8/5/2024,No Response,5,Yes,Sales 2,,,,Graduate,
7Lg1Oq2Ua0Iq,8/6/2024,Enrolled,1,No,,Customer Rep 3,8/6/2024,24-25 Prime 500,Graduate,23-24 Prime 500
7Lg9Fn1Lu9Rm,8/6/2024,Lost,6,Yes,Sales 1,Customer Rep 2,,,Undergraduate,
6Ez9Br4Fk1Ni,8/7/2024,Enrolled,1,Yes,,Customer Rep 2,8/11/2024,24-25 Elite,OPT,
2Gk4Si7Dx3Aj,8/7/2024,Enrolled,3,Yes,Sales 2,Customer Rep 2,8/21/2024,24-25 Prime 500,J1,
1Ps7Mn0Nv7Kt,8/7/2024,Enrolled,5,Yes,Sales 2,Customer Rep 1,9/18/2024,24-25 Prime 100,Graduate,
1Cs1Qm3Sv3Bg,8/8/2024,Enrolled,2,Yes,Sales 1,Customer Rep 2,8/15/2024,24-25 Prime 500,Graduate,
6Wf6Mm5Bh6Oj,8/9/2024,Enrolled,1,Yes,,Customer Rep 2,8/9/2024,24-25 Prime 500,Graduate,23-24 Prime 500
6Mw3Yc7Pu9Hg,8/9/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/13/2024,24-25 Elite,Undergraduate,
7Jx2Gf3Cv6Gp,8/9/2024,Canceled,3,Yes,Sales 2,Customer Rep 1,,,OPT,
9Ov2Dk5Wl7Ab,8/12/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,7/14/2024,24-25 Prime 100,J1,
8Em5Oc6Gc1Yy,8/12/2024,Enrolled,1,No,,Customer Rep 2,7/31/2024,24-25 Prime 100,OPT,23-24 Prime 100
6Jo4Gu9Ek7Os,8/12/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/11/2024,24-25 Elite,OPT,
5Ik2Jx8Ws7Ca,8/12/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,8/11/2024,24-25 Elite,Graduate,
0Dz2Os2Qr8Ae,8/12/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/12/2024,24-25 Prime 500,Undergraduate,
5Dl2Jn8Jw8Ry,8/12/2024,Enrolled,1,No,Sales 2,Customer Rep 2,8/12/2024,24-25 Prime 500,Graduate,
1Ac2Vm9Tl5Le,8/12/2024,Enrolled,1,Yes,Sales 1,Customer Rep 1,8/13/2024,24-25 Prime 500,Undergraduate,
0Qq0Dl4Az9Jk,8/12/2024,Enrolled,2,Yes,Sales 1,Customer Rep 2,8/19/2024,24-25 Prime 500,Graduate,
8Gp7Ul1Wr0Vf,8/12/2024,Enrolled,4,No,Sales 1,,11/7/2024,24-25 Prime 500,Graduate,
6Oc9Ug4Db2Ag,8/12/2024,Enrolled,4,Yes,Sales 2,Customer Rep 2,11/19/2024,24-25 Prime 100,Undergraduate,23-24 Prime 100
0Oh5Zl6Ve5Oe,8/12/2024,Enrolled,4,No,,Customer Rep 1,11/27/2024,24-25 Prime 500,Graduate,
7Bj2Gz9Ae6Vk,8/13/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/13/2024,24-25 Elite,Graduate,
7Ql1Kl9Qs7Qb,8/13/2024,Enrolled,2,No,,Customer Rep 1,8/19/2024,24-25 Prime 500,J1,
0Kj0Ub3Pw7Yl,8/13/2024,No Response,4,No,,Customer Rep 1,,,Undergraduate,
5Yv0Pg8Am8Yx,8/14/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/14/2024,24-25 Prime 100,Graduate,
8Ok4Ng1Fd8Xm,8/14/2024,Enrolled,1,No,,Customer Rep 2,8/14/2024,24-25 Prime 500,Undergraduate,
2Ee2Di3Gl3Ii,8/14/2024,Enrolled,1,No,,Customer Rep 3,8/14/2024,24-25 Supreme,Graduate,
2Uv5Uh3Uv1Es,8/14/2024,No Response,5,No,Sales 1,,,,Graduate,
5Ft8Za2Vb7Yi,8/15/2024,Enrolled,1,Yes,Sales 1,Customer Rep 1,8/18/2024,24-25 Supreme,OPT,
9Sd5Qe7Ey5Ce,8/15/2024,Enrolled,4,Yes,Sales 2,Customer Rep 2,1/9/2025,24-25 Basic,OPT,
7Dl4Lq5Wb1Eq,8/15/2024,Lost,4,Yes,Sales 2,Customer Rep 2,,,Graduate,
1Gc1Ei0Bj6Bo,8/16/2024,Enrolled,1,No,,Customer Rep 2,8/14/2024,24-25 Elite,Graduate,
1Yi6Lx2Yl4Aa,8/16/2024,Enrolled,1,No,,Customer Rep 2,8/16/2024,24-25 Prime 500,Graduate,
1Hq7Cu2Ag7Zf,8/19/2024,Enrolled,1,No,,Customer Rep 1,8/19/2024,24-25 Prime 500,Graduate,
