Lead ID,Lead Create Date,Lead Status,Follow Up Count,Group Connected,Sales Agent,Customer Rep,Latest Coverage Purchase Date,Latest Policy,Student Category,Pervious Policy
2Bj8Cu6Zk3Ik,9/10/2024,No Response,5,No,Sales 2,,,,Undergraduate,
4Gr7Mo1Bu9Aa,9/10/2024,No Response,5,No,Sales 1,,,,Undergraduate,
3Kk5Wf5Ue3Xw,9/10/2024,No Response,6,No,Sales 2,,,,Undergraduate,
3Sa1Ce5Ws4Kr,9/10/2024,No Response,6,No,Sales 1,,,,Undergraduate,
1Rd6Zj8Ey9Ga,9/10/2024,Lost,4,Yes,Sales 2,Customer Rep 2,,,OPT,
9Vb8By8Sb6Lb,9/10/2024,No Response,4,No,Sales 1,,,,OPT,
2Wb1Qg7Fo0Ux,9/10/2024,No Response,6,No,Sales 1,,,,J1,
1Yv5Cj3Hf9Bm,9/10/2024,No Response,6,No,Sales 1,,,,Undergraduate,
0Nz1Gs8De6Ge,9/10/2024,No Response,4,No,Sales 2,,,,Undergraduate,
0Mi1Os4Pa9Er,9/10/2024,No Response,4,No,Sales 2,,,,Graduate,
2Kn3Pq9Tw7Sm,9/10/2024,No Response,4,No,Sales 2,,,,Undergraduate,
1Sm0Cd4Lg4Rt,9/11/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/8/2024,24-25 Prime 100,Undergraduate,
5Aq5Iw0Me3Tw,9/11/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/13/2024,24-25 Prime 100,J1,
4Sb2Oy3Nk4Fy,9/11/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/13/2024,24-25 Elite,Undergraduate,23-24 Prime 100
4Wv2Bo9Yd2Fv,9/11/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/16/2024,24-25 Prime 500,Undergraduate,
4Sr1Em7Tv8Et,9/11/2024,Enrolled,1,No,Sales 1,,8/16/2024,24-25 Prime 500,Graduate,
3Rp6Ej5Ef4Vb,9/11/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/17/2024,24-25 Prime 500,J1,
0Fn1Wk1Ro8Iv,9/11/2024,Enrolled,1,No,Sales 1,,8/18/2024,24-25 Prime 100,Undergraduate,23-24 Prime 100
2Jo6Vs1Lp6Bn,9/11/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,8/20/2024,24-25 Prime 100,OPT,
1Lb2Ak1Kr5Lo,9/11/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/21/2024,24-25 Prime 500,Undergraduate,23-24 Prime 500
2Kw5Cq7Ks2Lc,9/11/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/21/2024,24-25 Elite,Undergraduate,
8To7Cn0Kw9Ae,9/11/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/21/2024,24-25 Prime 500,Undergraduate,
6Hj8Sb0Ct1Di,9/11/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/22/2024,24-25 Prime 100,Undergraduate,
